homelat,homelon,height,n
34.309485467895314,-78.13550723135353,67,1
39.125590608023764,-107.17076153756514,62,1
42.91055096628368,-73.06472163131428,68,1
37.323969902630196,-77.656511682869,69,1
42.109556129747126,-88.31008442759331,65,1
33.98610684434168,-117.90480574696517,68,1
35.558640683446356,-97.22314960620321,67,1
39.868198776392816,-103.67006942505557,73,1
36.19785322533366,-79.32733135570031,71,1
32.91904965000747,-97.4831484209617,69,1
34.17262505161149,-84.86230460603441,66,1
33.94053708749217,-81.03880058212368,66,1
41.400996956806544,-74.29426790576537,71,1
31.91655700813557,-102.69626343527197,63,1
43.45963123906919,-96.21738976606107,66,1
42.2108348973213,-83.45537298286693,67,1
43.00459091524496,-87.18064326087463,60,1
30.08910619484257,-81.16764653469271,77,1
35.2781360089961,-77.69625847194722,72,1
45.50456615939314,-122.82153999707786,69,1
28.21807924890793,-82.03800956732253,62,1
40.214814986789875,-90.78326112633356,62,1
40.02251916870214,-106.19637392337094,64,1
40.87345121896989,-74.1508107713286,76,1
37.441634245960316,-77.16362708504067,67,1
43.838207233542626,-91.91405290147566,65,1
32.051279877442624,-88.64404928011494,66,1
28.824336566922124,-81.43242926075887,64,1
30.589075498963908,-97.10078134976426,62,1
44.3049934793827,-123.703721688009,74,1
38.81812663489292,-121.62514758592584,62,1
30.54554688114298,-90.90173842619004,69,1
30.869818012574218,-88.13412798983917,66,1
47.09866026374552,-119.8449724958336,67,1
35.12426709873499,-78.82217223540344,69,1
43.58730690625859,-96.3071748061644,66,1
34.27926931712503,-85.11042974747953,65,1
34.332347889740134,-90.33750616448485,65,1
45.33387556453986,-122.35548323635295,69,1
33.20166703471416,-86.170112945657,63,1
42.4154471570937,-77.91501688971363,72,1
41.92892165525729,-82.01060240836254,70,1
43.174226407121594,-82.00127072441492,64,1
41.26550681499659,-96.24895111512426,64,1
41.026125515082974,-75.90215658061844,68,1
37.82766339862175,-93.94171698722465,70,1
37.05306462908938,-76.27936439908528,69,1
40.725674775645345,-77.0011446832426,68,1
40.24198838998647,-80.03359068620344,70,1
33.630021574197215,-116.88025151049912,70,1
35.444800632522075,-85.82942253439153,76,1
33.96813209698827,-117.56302775267467,68,1
41.4523114828847,-72.24809822723978,66,1
38.774497248415315,-77.12050182479011,72,1
38.649384762848015,-92.65674215120757,71,1
35.88650667840912,-91.7554890951386,67,1
29.538227109215807,-94.72115209204655,62,1
39.38691180792773,-84.99280112951817,72,1
25.28728952632339,-80.47122829752158,72,1
25.212921729688723,-80.73454585573147,70,1
39.697283339815016,-77.30988774236181,66,1
28.73154929955063,-80.46607766463124,65,1
41.245695878948965,-96.77027137463031,71,1
40.616438736851514,-73.80881208282277,67,1
40.1750683586954,-104.71568738306435,63,1
40.52518828795806,-78.10143714887928,67,1
37.382209498278364,-89.20277907992754,65,1
45.62119108832929,-92.79285391555294,63,1
39.2593494753348,-94.98826399968709,64,1
40.1343445940957,-105.8399444667695,72,1
34.114614894338345,-118.60604687293092,68,1
37.180354709914475,-121.97991087607203,71,1
46.90565132752227,-122.91387955731993,68,1
35.062981942195854,-76.37157569507642,67,1
39.66712185217709,-75.06914550503365,70,1
40.36849999201637,-74.00293572642931,72,1
40.89926669674439,-73.12239131135841,72,1
40.478979399364796,-86.59456509934341,67,1
30.22626948257281,-95.70261990264753,71,1
33.26571091405698,-118.16622133321344,64,1
41.83380784763084,-82.67078328549962,67,1
28.214827590264484,-81.94256173511812,64,1
29.205362550712987,-82.89040991451954,70,1
41.89932642663762,-87.34486931251745,71,1
29.09118607524447,-81.31245560460594,74,1
33.15244982322878,-114.23039778975796,69,1
42.42829690898782,-71.81902760073726,77,1
35.256336244944976,-96.4000065401232,65,1
31.971797256502633,-82.45383583513173,78,1
42.8337572243458,-78.37888923298283,71,1
42.11462946986684,-72.33568959469041,68,1
26.34822397433779,-80.69276706752257,69,1
40.09862293863861,-83.90399396588211,66,1
39.244290749988565,-85.15961701718682,68,1
43.73100138772862,-96.71754946377325,60,1
33.59764776284676,-117.68717595328981,65,1
39.648890013710535,-105.67763881317869,67,1
30.110796164642764,-82.95651951733444,68,1
39.42288598371684,-108.73948415311807,63,1
41.94670538527104,-72.03097013550438,61,1
38.69030628124069,-93.03789429534457,65,1
42.82111138968047,-84.3850013460107,63,1
32.873925514328846,-116.79056634604389,65,1
28.259463547023977,-82.27656239075556,67,1
34.02596684540696,-112.46405093394439,72,1
36.00045443650356,-93.37309101192137,71,1
46.31159644754203,-121.92694044645496,72,1
32.59302463668206,-90.1079556240224,71,1
38.24762940376357,-122.02348032885433,70,1
41.21736588657547,-76.12047143695224,70,1
35.58875817404214,-91.78596987611449,64,1
34.6167381666836,-106.46305500971418,61,1
38.71498454968566,-76.36760476965364,66,1
25.479369789201034,-80.31621231006527,69,1
29.42530204950605,-90.09051999199994,69,1
32.9639648903338,-116.90558426188491,61,1
32.965579438374,-96.9883475336165,64,1
39.710580640703235,-93.27109951048388,72,1
42.563512155562336,-92.86052479352357,63,1
